!!!,sillyname,143.98649,Myth Takes,Myth Takes,2007
Bob Marley & The Wailers,reggae,320.15628,Legend,Three Little Birds,2007
Bob Neuwirth,american,241.10975,99 Monkeys,Biding Her Time,1990
Bobbie Gentry,classic pop and rock,177.57995,The Best of Bobbie Gentry: The Capitol Years,Courtyard,1968
Bobbie Gentry,classic pop and rock,214.96118,Local Gentry,Ace Insurance Man,1968
Bobbie Gentry,classic pop and rock,156.21179,Ode To Bobbie Gentry... The Capitol Years,Reunion,1968
Bobby Darin,american,163.52608,The Capitol Years,(I Heard That) Lonesome Whistle,1995
Bobby Darin,american,155.6371,Things & Other Things,"Theme From ""Come September"" (LP Version)",2003
Bobby Darin,american,147.93098,Sing & Swing With Bobby Darin,Bullmoose (LP Version),2008
Bobby Valentin,bobby valentin,177.50159,Algo Nuevo,Yo Soy Abacua,1970
Bon Jovi,hard rock,302.28853,7800 Fahrenheit,Only Lonely,1985
Bon Jovi,hard rock,311.27465,Who Says You Can't Go Home,Raise Your Hands,1986
Bon Jovi,hard rock,432.97914,These Days- Special Edition,This Ain't A Love Song,1995
Bon Jovi,hard rock,345.96526,Bounce - Special Edition,The Distance,2002
Bon Jovi,hard rock,314.20036,Have A Nice Day,The Radio Saved My Life Tonight,2004
Bon Jovi,hard rock,253.83138,Have A Nice Day,Wildflower,2005
Bon Jovi,hard rock,286.35383,Whole Lot Of Leavin',I Love This Town,2007
Bon Jovi,hard rock,318.09261,Lost Highway,Till We Ain't Strangers Anymore,2008
Bon Jovi / Ray Davies,hard rock,336.84853,Misunderstood,Celluloid Heroes,2002
Bongzilla,american,397.26975,Apogee,Witch Weed (Live),1999
Bongzilla,american,475.11465,Gateway,666lb. Bongsession,2002
Bongzilla,american,422.55628,Live From the Relapse Contamination Festival,Stone a Pig,2002
Bongzilla,american,419.68281,Amerijuanican,Cutdown,2005
Bongzilla,american,286.58893,Amerijuanican,Champagne & Reefer,2005
Boogie Pimps,pop and chart,333.89669,Then Came You,Then Came You,2007
Boots Randolph,saxaphone,150.20363,Boots Randolph's Yakety Sax!,Lonely Street,1963
Bounty Killer,hip hop rnb and dance hall,205.29587,Nah No Mercy - The Warlord Scrolls,Cellular Phone,1995
Bounty Killer,hip hop rnb and dance hall,225.25342,Nah No Mercy - The Warlord Scrolls,Gun Thirsty,2001
Bounty Killer,hip hop rnb and dance hall,221.70077,Jamaica's Most Wanted,Coppershot,2001
Bow Wow Wow,classic pop and rock,182.9873,Girl Bites Dog_ Your Compact Disc Pet,C30 C60 C90 Go,2003
Boyz II Men,soul and reggae,245.75955,Cooleyhighharmony - Expanded Edition,Motownphilly,1991
Boyz II Men,soul and reggae,329.27302,Legacy,On Bended Knee,1994
Boyz II Men,soul and reggae,151.58812,Love,In My Life,2009
Brand X,fusion,281.52118,Morrocan Roll,Hate Zone,1977
Brand X,fusion,95.76444,Morrocan Roll,Collapsar,1977
Brenda Lee,country,188.26404,Brenda Lee,Your One And Only (LP Version),1960
Brenda Lee,country,205.13914,Brenda Lee,Against My Will (LP Version),1960
Brenda Lee,country,151.03955,Classic Brenda Lee - The Universal Masters Collection,Everybody Loves Me But You,1995
Brian Auger's Oblivion Express,classicpopandrock,360.30649,Closer To It!,Voices Of Other Times,1999
Brian Eno And David Byrne,classic pop and rock,296.33261,New Romantics,The Jezebel Spirit,1981
Brian Tyler,easy listening soundtracks and musicals,128.54812,Partition,Festival Of Holi,2007
Brian Tyler,easy listening soundtracks and musicals,52.87138,Dragonball Evolution,I Dream Of Chi Chi,2009
Britney Spears,pop,223.52934,Oops!... I Did It Again,Don't Go Knockin' On My Door,2000
Britney Spears,pop,196.80608,Oops!... I Did It Again,Can't Make You Love Me,2000
Britney Spears,pop,211.01669,The Singles Collection,Oops!...I Did It Again,2000
Britney Spears,pop,206.81098,Everytime,Everytime,2003
Britney Spears,pop,213.18485,My Prerogative,My Prerogative,2004
Britney Spears,pop,1.04444,Someday (I Will Understand),Someday (I Will Understand),2005
Britney Spears,pop,530.12853,Break The Ice: Dance Remixes,Break The Ice,2007
Britney Spears,pop,465.47546,3,3,2009
Britney Spears feat. Pharrell Williams,pop,225.48853,Touch My Soul_ Vol. 23,Boys,2001
Broadcast,birmingham,163.91791,The Future Crayon,Where Youth And Laughter Go,2000
Broadcast,birmingham,102.94812,Pendulum,One Hour Empire,2003
Broadcast,birmingham,237.00853,Tender Buttons,Michael A Grammar,2005
Bruce Springsteen,rock,591.62077,Hammersmith Odeon_ London '75,Rosalita (Come Out Tonight),1973
Bruce Springsteen,rock,191.99955,Born In The U.S.A.,Working On The Highway,1984
Bryan Ferry,british,253.12608,These Foolish Things,Don't Worry Baby (1999 Digital Remaster),1973
Bryan Ferry,british,194.61179,Let's Stick Together,2HB (1999 Digital Remaster),1976
Bryan Ferry,british,274.28526,Mamouna,Wildcat Days (1999 Digital Remaster),1994
Bryan Ferry,british,247.11791,Mamouna,Don't Want To Know (1999 Digital Remaster),1994
Bryan Ferry,british,188.18567,Frantic,Going Down,2002
Bryan Ferry,british,35.65669,Frantic,Ja Nun Hons Pris,2002
Bryan White,country,240.90077,Dreaming Of Christmas,I Can't Wait 'Til Christmas (LP Version),1999
Bryan White,country,245.81179,How Lucky I Am,God Gave Me You (Single/LP Version),1999
Bryan White,country,166.24281,How Lucky I Am,Love Happens Just Like That (LP Version),1999
BT,trance,506.27873,In Search Of Sunrise 1,Mercury & Solace,2000
BT,trance,253.07383,The Dungeonmaster's Guide,Knowledge Of Self (Evol Intent Remix),2004
BT,trance,94.9024,Stealth,Korean Waterhole,2005
BT,trance,214.54322,Stealth,Henrys Death,2005
BT,trance,311.90159,Tiger Woods PGA Tour 2005,Ver de Feliz,2006
BT feat. JES,trance,550.97424,Every Other Way,Every Other Way,2010
Buju Banton,reggae,256.78322,Voice Of Jamaica,Searching,1993
Buju Banton,reggae,239.0722,Inspirational Vibes,Destiny,1997
Buju Banton,reggae,56.842,Friends For Life,Excerpt Of A Speech By Marcus Mosiah Garvey,2003
Bullet For My Valentine,welsh,215.53587,The Poison,Suffocating Under Words Of Sorrow (What Can I Do),2005
Bullet For My Valentine,welsh,223.76444,The Poison,4 Words (To Choke Upon),2005
Bumblefoot,production music,200.35873,Abnormal,Piranha,2008
Burning Spear,reggae,185.5473,Dry & Heavy,It's A Long Way Around,1977
Burning Spear,reggae,355.18649,Harder Than The Best,Civilized Reggae,1980
Burning Spear,reggae,217.93914,Jah Kingdom,Tumble Down,1991
Burning Spear,reggae,146.88608,Soul Kitchen (The Original Motion Picture Soundtrack),Walking In Dub,2009
Burt Bacharach,easy listening soundtracks and musicals,175.882,Reach Out,Are You There (With Another Girl),1967
Busdriver,hip hop rnb and dance hall,125.77914,Well Deep: Ten Years Of Big Dada,Beauty Supply And Demand,2004
Busdriver,hip hop rnb and dance hall,240.71791,Well Deep: Ten Years Of Big Dada,Unemployed Black Astronaut,2005
Busdriver,hip hop rnb and dance hall,192.1824,RoadKillOvercoat,(Bloody Paw On The) Kill Floor,2007
Busdriver,hip hop rnb and dance hall,223.68608,Sun Shower,Sun Shower (Single Version),2007
Busdriver,hip hop rnb and dance hall,316.21179,Sun Shower,Sun Shower - Cadence Weapon Remix (Cd),2007
Busdriver,hip hop rnb and dance hall,311.11791,Jhelli Beam,Unsafe Sextet/Gilded Hearts of Booklovers,2009
Busdriver featuring Abstract Rude & Ellay Khule,hip hop rnb and dance hall,255.63383,Fear Of A Black Tangent,Map Your Psyche,2005
Busta Rhymes,hip hop rnb and dance hall,209.60608,Anarchy,We Put It Down For Y'all (Explicit LP Version),2000
Busta Rhymes,hip hop rnb and dance hall,231.60118,Genesis,Genesis,2001
Busta Rhymes,hip hop rnb and dance hall,231.49669,Genesis,We Got What You Want,2001
Busta Rhymes,hip hop rnb and dance hall,226.32444,It Ain't Safe No More,Taste It,2002
Butthole Surfers,texas,512.1824,Humpty Dumpty LSD,All Day,1987
Butthole Surfers,texas,263.70567,Locust Abortion Technician,22 Going On 23,1987
Butthole Surfers,texas,126.64118,Independent Worm Saloon,Tongue,1993
Butthole Surfers,texas,154.85342,Electriclarryland,Ulcer Breakout,1996
Buzzcocks,uk,144.77016,French,Get On Our Own,1978
Buzzcocks,uk,219.19302,French,Strange Thing,1980
Buzzcocks,uk,135.23546,Chronology,No Reply (Demo),2008
CA(c)line Dion,canadian,274.57261,My Love Ultimate Essential Collection,"Because You Loved Me (Theme from ""Up Close and Personal"")",1996
CA(c)line Dion,canadian,224.20853,Taking Chances,The Reason I Go On,2007
Cadacross,finnish,217.93914,Corona Borealis,Bring Out Your Dead,2002
Cake,college rock,210.07628,Prolonging the Magic,Alpha Beta Parking Lot,1998
Cake,college rock,91.32363,Comfort Eagle,Arco Arena,2001
Cal Tjader,latin jazz,197.22404,Latin Kick,Manuel's Mambo,1956
Cal Tjader,latin jazz,200.12363,Sounds Out Burt Bacharach,Anyone Who Had A Heart,2003
Cali,franASSais,210.18077,Menteur / L'Amour Parfait,C'est Toujours Le Matin,2003
Cali,franASSais,339.80036,Le Bordel Magnifique,Dolorosa (Live),2006
Cali,franASSais,328.14975,Le Bordel Magnifique,Il Y A Une Question (Live),2006
Cali,franASSais,156.55138,L'espoir,Resistance,2008
Camp Lo,hip hop rnb and dance hall,227.65669,Uptown Saturday Night,Sparkle,1997
Camp Lo,hip hop rnb and dance hall,214.46485,Another Heist,Uptown,2009
Camp Lo,hip hop rnb and dance hall,267.17995,Another Heist,Black Connect 3,2009
Cam'Ron,hip hop rnb and dance hall,24.73751,Purple Haze,O.T. (Skit),2004
Cam'Ron,hip hop rnb and dance hall,85.96853,Purple Haze,I'm A Chicken Head (Skit),2004
Cam'Ron,hip hop rnb and dance hall,231.94077,Purple Haze,Bubble Music,2004
Cam'Ron,hip hop rnb and dance hall,174.88934,Killa Season,Do Ya Thing (Remix) (Explicit Album Version),2006
Cam'Ron,hip hop rnb and dance hall,212.79302,Killa Season,I.B.S. (Amended Album Version),2006
Cam'Ron / JR Writer,hip hop rnb and dance hall,208.92689,Purple Haze,Shake,2004
Cam'Ron / Juelz Santana,hip hop rnb and dance hall,366.05342,Come Home With Me,Losing Weight Part 2,2002
Cam'Ron / Juelz Santana / Jimmy Jones,hip hop rnb and dance hall,301.50485,Come Home With Me,Come Home With Me,2002
Cancer Bats,rock and indie,159.29424,Kerrang! The Album '09,Engine Skull,2009
Cancer Bats,rock and indie,180.71465,Sabotage,Sabotage,2010
Cancer Bats,rock and indie,160.26077,Bears_ Mayors_ Scraps and Bones,Dead Wrong,2010
Candy Lo,mandarin,202.57914,Fantasy,Qu Ni De Hun Li,2001
Capleton,dancehall,223.39873,Lotion Man,When Me A Move,1991
Capleton,dancehall,86.88281,Live At Negril,Raggy Road,1997
Capleton,dancehall,29.41342,More Fire,Conscience Ah Heng Dem (interlude),2000
Capleton,dancehall,233.63873,Kings of Zion Part III,Say Yeah,2005
Captain Hollywood Project,electronic,372.27057,All I Want,All I Want,1993
Captain Hollywood Project,electronic,235.62404,Animals or Human,Find Another Way,1995
Captain Hollywood Project,electronic,338.36363,Animals or Human,The Way Love Is,1995
Carl Cox Vs Yousef,uk,357.82485,Dave Pearce Best of the Dance Years 1988 - 1992,I Want You (Forever),1991
Carlos Baute,carlos baute colgando en tus manos nada se compara a ti,210.6771,De mi puA+-o y letra - Edicion Coleccionista,Te extraA+-o porque te extraA+-o,2008
Carpenters,classic pop and rock,134.60853,Christmas Collection,An Old Fashioned Christmas,1992
Casiotone For The Painfully Alone,dance and electronica,108.40771,The First Two Albums,Rice Dream Girl,1999
Casiotone For The Painfully Alone,dance and electronica,51.01669,The First Two Albums,Dying Batteries,2001
Casiotone For The Painfully Alone,dance and electronica,188.94322,Twinkle Echo,Attic Room,2003
Casiotone For The Painfully Alone,dance and electronica,175.72526,Etiquette,Nashville Parthenon,2006
Casiotone For The Painfully Alone,dance and electronica,47.46404,Etiquette,Happy Mother's Day,2006
Casiotone For The Painfully Alone,dance and electronica,115.17342,Town Topic EP,Town Topic (Instrumental),2008
Casiotone For The Painfully Alone,dance and electronica,26.80118,Town Topic EP,Bad People,2008
Casiotone For The Painfully Alone,dance and electronica,197.25016,Vs. Children,White Jetta,2009
Caspian,post-rock,125.07383,The Four Trees,The Dropsonde,2007
Cassie,hip hop rnb and dance hall,222.74567,Long Way 2 Go,Long Way 2 Go (Album Version),2006
Chango Spasiuk,world,36.20526,Polkas de mi Tierra,Autores Anonimos,1998
Charley Patton,blues,191.11138,Charley Patton Vol. 1 (1929),Mississippi Boweavil Blues,1929
Charley Patton,blues,196.62322,Essential Delta Blues,Moon Going Down,1930
Charley Patton,blues,154.87955,Complete Recordings_ CD C,Circle Round The Moon,1990
Charley Pride,country,188.02893,Super Hits,(I'm So) Afraid Of Losing You Again,1970
Charley Pride,country,172.09424,The Pride of Country,Help Me Make It Through the Night,2002
Charlie Byrd,swing,471.43138,The Best of the Jazz Guitar,Chim Chim Cheree,1989
Charlie Byrd,swing,229.32853,Byrd By The Sea,It Don't Mean A Thing (If It Ain't Got That Swing),1991
Charlie Byrd,swing,348.21179,Byrd & Brazil,Speak Low,1997
Charlie Byrd,swing,361.56036,Byrd & Brazil,How Insensitive,2004
Charlie Haden,jazz and blues,292.17914,American Dreams,American Dreams,2002
Charlie Patton,blues,173.322,A Spoonful Blues  Vol 1,34 Blues,1934
Charlotte Gainsbourg,french,189.70077,5:55,Tel Que Tu Es,2006
Charlotte Gainsbourg,french,241.65832,IRM,Le Chat du CafA(c) des Artistes,2009
Charlotte Gainsbourg,french,154.95791,IRM,IRM,2009
Chase & Status,hip hop rnb and dance hall,337.68444,Ten Tonne EP,Ten Tonne,2005
Chase & Status,hip hop rnb and dance hall,398.54975,Ten Tonne EP,Trapdoor,2005
Chelsea,uk,200.59383,Live And Loud,Right To Work,1977
Chelsea,uk,301.71383,Live And Loud,Decide,1979
Chelsea,uk,145.55383,Punk In London,Right to Work (Live),1991
Cheo Feliciano,salsa,269.26975,Latin Nights,Juguete,1972
Cherish The Ladies,folk,134.81751,Cherish The Ladies: Irish Women Musicians in America,The Shaskeen / Gan Ainm,1999
Chimaira,thrash metal,342.36036,Chimaira,Left For Dead (Album Version),2005
Chimaira,thrash metal,323.18649,Resurrection,The Flame,2007
Chris Clark,soul and reggae,192.65261,The Motown Anthology,If You Should Walk Away,1967
Chris Farlowe,uk,177.57995,Out Of Time,Paint It Black,1966
Chris Rea,rock,308.45342,The Road To Hell And Back,Josephine,1985
Chris Rea,rock,241.162,The Road To Hell Part 2,Driving Home For Christmas,1986
Chris Rea,rock,236.35546,Weekend Songs,Josephine (French Edit),2008
Chris Standring,production music,269.322,Groovalicious,Say What!?!,2003
Chris Standring,production music,256.49587,Groovalicious,Fat Tuesday,2003
Chris Standring,production music,257.59302,Soul Express,Mumbo Jumbo (jazz),2006
Chris Standring,production music,261.0673,Soul Express,Through the Looking Glass (jazz),2006
Christina Aguilera,pop and chart,266.73587,Mi Reflejo,Pero Me Acuerdo De TA,2000
Christina Aguilera,pop and chart,278.04689,Christina Aguilera/Stripped,Genio Atrapado,2000
Christina Aguilera,pop and chart,347.84608,Christina Aguilera/Stripped,Walk Away,2002
Christina Aguilera,pop and chart,236.95628,Dance Vault Remixes - Beautiful,Beautiful,2002
Christina Aguilera,pop and chart,229.53751,Christina Aguilera/Stripped,Cruz,2002
Circle Jerks,los angeles,88.89424,Group Sex,Paid Vacation,1980
Circle Jerks,los angeles,63.52934,Group Sex,Group Sex,1980
Circle Jerks,los angeles,122.64444,Wild In the Streets,Question Authority,1982
Claude FranASSois,french,197.25016,PODIUM,Le chanteur malheureux,1994
CMW - Compton's Most Wanted,hip hop,217.62567,Music To Driveby,This Is A Gang,1992
Cockney Rejects,uk,250.01751,Out Of The Gutter,Beginning Of The End,1987
Cockney Rejects,uk,204.93016,Oi! The Album,Oi! Oi! Oi!,1997
Cockney Rejects,uk,176.01261,Live And Loud,Easy Life (Live),1997
Cockney Rejects,uk,182.25587,Unforgiven,Big Time Charlie,2007
Cockney Rejects,uk,241.50159,Unforgiven,It's Alright Bruv,2007
Coldplay,british,139.12771,Don't Panic,Don't Panic,1999
Coldplay,british,274.41587,In My Place,One I Love,2002
Coldplay,british,410.8273,Live 2003,A Rush Of Blood To The Head (Live In Sydney),2003
Coldplay,british,285.04771,Speed Of Sound,Speed Of Sound (Live),2005
Coldplay,british,269.34812,Fix You,The World Turned Upside Down,2005
Coldplay,british,295.67955,Speed Of Sound,Things I Don't Understand,2005
ColdWorld,black metal,344.68526,MelancholieA2,Schmerzensschreie,2008
Commander Cody & His Lost Planet Airmen,country,162.45506,Sea Cruise,Sister Sue,1973
Commander Cody And His Lost Planet Airmen,country,188.70812,Live From Deep In The Heart Of Texas,Crying Time,1974
Commander Cody And His Lost Planet Airmen,country,195.65669,Live From Deep In The Heart Of Texas,Riot In Cell Block #9,1974
Commander Cody And His Lost Planet Airmen,country,205.71383,Live From Deep In The Heart Of Texas,Too Much Fun,1974
Commander Cody And His Lost Planet Airmen,country,161.88036,Tales From The Ozone,Cajun Baby (LP Version),1975
Concretes,rock and indie,204.85179,Hey Trouble,Souvenirs,2007
Connie Francis,american,147.17342,Essential Christmas,Baby's First Christmas,1959
Constance Demby,ambient,285.75302,Set Free - The Definitive Edition,Moving On,1989
Constance Demby,ambient,259.36934,Set Free - The Definitive Edition,Javalon,1989
Converge,rock and indie,99.99628,Unloved and Weeded Out,Locust Reign (Live in California),2003
Converge,rock and indie,220.49914,No Heroes,To the Lions,2006
Converge,rock and indie,174.75873,Axe To Fall,Dark Horse,2009
Cracker,american,380.86485,Cracker,Dr. Bernice,1992
Cracker,american,263.8624,Clueless / Original Motion Picture Soundtrack,Shake Some Action,1995
Cracker,american,196.5971,Gentleman's Blues,My Life Is Totally Boring Without You,1998
Cradle Of Filth,gothic metal,321.35791,Bitter Suites to Succubi,Summer Dying Fast,1994
Curtis Mayfield,funk,411.92444,Heartbeat,You Better Stop,1979
Curtis Mayfield,funk,348.60363,Beautiful Brother - The Essential,People Never Give Up,1980
Curtis Mayfield,funk,225.67138,Future Shock,This Year (ReMastered),2006
Curtis Mayfield,funk,237.60934,Future Shock,Soul Music (ReMastered),2006
Cut Copy,rock and indie,312.08444,Bright Like Neon Love,Future,2004
Cut Copy,rock and indie,195.21261,In Ghost Colours,Unforgettable Season,2008
Cut Copy,rock and indie,289.04444,In Ghost Colours,Cold Youth,2008
Daath,metal,230.86975,The Hinderers,From The Blind (LP Version),2006
Daath,metal,248.81587,The Hinderers,Above Lucium (LP Version),2006
Daath,metal,267.78077,The Hinderers,Cosmic Forge (LP Version),2006
